,amfi_code,alpha,beta
0,100016.0,0.0362,-0.0259
1,100025.0,0.0432,-0.0162
2,100033.0,0.2723,-0.0112
3,101206.0,0.2139,0.0338
4,101207.0,0.1082,-0.0599
5,101208.0,0.0608,0.0013
6,102885.0,0.1699,-0.0019
7,102886.0,0.0289,-0.0615
8,102887.0,0.1618,0.0401
9,118632.0,0.2173,0.0364
10,118633.0,0.155,0.0132
11,118634.0,0.178,0.0091
12,118635.0,0.1516,-0.0138
13,118636.0,0.051,-0.0085
14,119092.0,0.0697,-0.0196
15,119093.0,0.0833,-0.0084
16,119094.0,0.26,-0.0599
17,119095.0,0.0457,0.0133
18,119120.0,0.0558,0.012
19,119551.0,0.2322,-0.056
20,119552.0,0.1983,-0.0199
21,119598.0,0.3011,0.0743
22,119599.0,0.0506,0.0077
23,120503.0,0.1759,-0.0041
24,120504.0,0.2121,0.017
25,120505.0,0.293,-0.0174
26,120506.0,0.1628,0.0477
27,120507.0,0.0675,-0.0011
28,120841.0,0.1307,0.0417
29,120842.0,0.0786,0.0006
30,120843.0,0.2728,-0.0087
31,120844.0,0.0645,-0.0001
32,125497.0,0.1789,-0.0055
33,125498.0,0.1206,-0.0185
34,148567.0,0.2712,-0.0281
35,148568.0,0.2079,0.0001
36,148569.0,0.2835,-0.0102
37,149322.0,0.1313,0.0148
38,149323.0,0.2658,0.0035
39,149324.0,0.2982,0.1326
