,amfi_code,scheme_name,1Y_CAGR,3Y_CAGR,5Y_CAGR
0,100016.0,HDFC Top 100 Fund - Regular Plan - Growth,12.13,3.89,2.32
1,100025.0,HDFC Short Term Debt Fund - Regular - Growth,21.16,6.61,3.91
2,100033.0,HDFC Mid-Cap Opportunities Fund - Regular - Growth,218.51,47.13,26.07
3,101206.0,ABSL Frontline Equity Fund - Regular - Growth,153.46,36.34,20.44
4,101207.0,ABSL Small Cap Fund - Regular - Growth,39.95,11.86,6.95
5,101208.0,ABSL Liquid Fund - Regular - Growth,31.98,9.69,5.71
6,102885.0,UTI Nifty 50 Index Fund - Regular - Growth,108.94,27.84,15.88
7,102886.0,UTI Mid Cap Fund - Regular - Growth,5.26,1.72,1.03
8,102887.0,UTI Flexi Cap Fund - Regular - Growth,98.34,25.64,14.68
9,118632.0,Nippon India Large Cap Fund - Regular - Growth,158.1,37.17,20.88
10,118633.0,Nippon India Large Cap Fund - Direct - Growth,94.14,24.75,14.19
11,118634.0,Nippon India Small Cap Fund - Regular - Growth,94.87,24.91,14.27
12,118635.0,Nippon India ETF Nifty 50 BeES,91.82,24.25,13.91
13,118636.0,Nippon India Gilt Securities Fund - Regular - Growth,25.6,7.89,4.66
14,119092.0,Axis Bluechip Fund - Regular - Growth,31.21,9.48,5.58
15,119093.0,Axis Bluechip Fund - Direct - Growth,39.71,11.79,6.92
16,119094.0,Axis Midcap Fund - Regular - Growth,198.46,43.98,24.45
17,119095.0,Axis Small Cap Fund - Regular - Growth,6.87,2.24,1.34
18,119120.0,SBI Magnum Gilt Fund - Regular Plan - Growth,28.63,8.75,5.16
19,119551.0,SBI Bluechip Fund - Regular Plan - Growth,174.56,40.03,22.38
20,119552.0,SBI Bluechip Fund - Direct Plan - Growth,135.77,33.1,18.71
21,119598.0,SBI Small Cap Fund - Regular Plan - Growth,244.04,50.96,28.03
22,119599.0,SBI Small Cap Fund - Direct Plan - Growth,9.36,3.03,1.81
23,120503.0,ICICI Pru Bluechip Fund - Regular - Growth,113.27,28.72,16.36
24,120504.0,ICICI Pru Bluechip Fund - Direct - Growth,151.27,35.95,20.23
25,120505.0,ICICI Pru Midcap Fund - Regular - Growth,248.68,51.64,28.38
26,120506.0,ICICI Pru Value Discovery Fund - Regular - Growth,100.16,26.03,14.89
27,120507.0,ICICI Pru Liquid Fund - Regular - Growth,35.99,10.79,6.34
28,120841.0,Kotak Bluechip Fund - Regular - Growth,74.79,20.46,11.82
29,120842.0,Kotak Emerging Equity Fund - Regular - Growth,33.03,9.98,5.87
30,120843.0,Kotak Flexicap Fund - Regular - Growth,227.05,48.44,26.74
31,120844.0,Kotak Liquid Fund - Regular - Growth,34.2,10.3,6.06
32,125497.0,HDFC Top 100 Fund - Direct Plan - Growth,115.12,29.09,16.56
33,125498.0,HDFC Mid-Cap Opportunities Fund - Direct - Growth,60.18,17.0,9.88
34,148567.0,Mirae Asset Large Cap Fund - Regular - Growth,227.78,48.55,26.8
35,148568.0,Mirae Asset Emerging Bluechip Fund - Regular - Growth,144.36,34.69,19.57
36,148569.0,Mirae Asset Tax Saver Fund - Regular - Growth,238.66,50.17,27.63
37,149322.0,DSP Top 100 Equity Fund - Regular - Growth,73.85,20.24,11.7
38,149323.0,DSP Midcap Fund - Regular - Growth,212.72,46.23,25.61
39,149324.0,DSP Small Cap Fund - Regular - Growth,242.49,50.74,27.92
