amfi_code,scheme_name,1Y_CAGR,3Y_CAGR,5Y_CAGR,sharpe_ratio,alpha,beta,max_drawdown_pct,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,score
102886.0,UTI Mid Cap Fund - Regular - Growth,5.26,1.72,1.03,-0.13,0.0289,-0.0615,-28.0,1.51,40.0,20.5,40.0,24.5,35.0,100.0
100016.0,HDFC Top 100 Fund - Regular Plan - Growth,12.13,3.89,2.32,-0.13,0.0362,-0.0259,-24.73,1.55,37.0,20.5,39.0,32.0,34.0,99.6515679442509
119095.0,Axis Small Cap Fund - Regular - Growth,6.87,2.24,1.34,-0.13,0.0457,0.0133,-51.68,1.38,39.0,20.5,37.0,17.0,39.0,92.45063879210224
119599.0,SBI Small Cap Fund - Direct Plan - Growth,9.36,3.03,1.81,-0.13,0.0506,0.0077,-52.57,0.72,38.0,20.5,36.0,5.5,40.0,82.57839721254355
120842.0,Kotak Emerging Equity Fund - Regular - Growth,33.03,9.98,5.87,-0.13,0.0786,0.0006,-24.0,1.56,31.0,20.5,29.0,33.0,33.0,82.22996515679444
119092.0,Axis Bluechip Fund - Regular - Growth,31.21,9.48,5.58,-0.13,0.0697,-0.0196,-14.4,1.64,33.0,20.5,30.0,39.5,15.0,82.11382113821138
101207.0,ABSL Small Cap Fund - Regular - Growth,39.95,11.86,6.95,-0.13,0.1082,-0.0599,-35.45,1.53,27.0,20.5,27.0,28.5,38.0,73.98373983739837
120841.0,Kotak Bluechip Fund - Regular - Growth,74.79,20.46,11.82,-0.13,0.1307,0.0417,-17.57,1.59,24.0,20.5,25.0,35.0,24.0,65.96980255516841
102887.0,UTI Flexi Cap Fund - Regular - Growth,98.34,25.64,14.68,-0.13,0.1618,0.0401,-21.54,1.64,20.0,20.5,21.0,39.5,30.0,62.60162601626017
100025.0,HDFC Short Term Debt Fund - Regular - Growth,21.16,6.61,3.91,-0.13,0.0432,-0.0162,-4.31,0.56,36.0,20.5,38.0,2.0,4.0,62.48548199767711
119120.0,SBI Magnum Gilt Fund - Regular Plan - Growth,28.63,8.75,5.16,-0.13,0.0558,0.012,-4.33,0.77,34.0,20.5,34.0,9.0,5.0,61.32404181184669
149322.0,DSP Top 100 Equity Fund - Regular - Growth,73.85,20.24,11.7,-0.13,0.1313,0.0148,-14.84,1.54,25.0,20.5,24.0,30.5,16.0,59.58188153310105
119093.0,Axis Bluechip Fund - Direct - Growth,39.71,11.79,6.92,-0.13,0.0833,-0.0084,-21.75,0.75,28.0,20.5,28.0,8.0,31.0,58.76887340301975
118636.0,Nippon India Gilt Securities Fund - Regular - Growth,25.6,7.89,4.66,-0.13,0.051,-0.0085,-8.32,0.55,35.0,20.5,35.0,1.0,6.0,58.53658536585366
101208.0,ABSL Liquid Fund - Regular - Growth,31.98,9.69,5.71,-0.13,0.0608,0.0013,-0.16,0.79,32.0,20.5,33.0,11.0,3.0,58.07200929152148
125498.0,HDFC Mid-Cap Opportunities Fund - Direct - Growth,60.18,17.0,9.88,-0.13,0.1206,-0.0185,-21.12,0.78,26.0,20.5,26.0,10.0,29.0,54.58768873403019
118634.0,Nippon India Small Cap Fund - Regular - Growth,94.87,24.91,14.27,-0.13,0.178,0.0091,-23.34,1.53,21.0,20.5,17.0,28.5,32.0,53.542392566782816
120507.0,ICICI Pru Liquid Fund - Regular - Growth,35.99,10.79,6.34,-0.13,0.0675,-0.0011,-0.1,0.74,29.0,20.5,31.0,7.0,1.0,48.31591173054588
120844.0,Kotak Liquid Fund - Regular - Growth,34.2,10.3,6.06,-0.13,0.0645,-0.0001,-0.12,0.6,30.0,20.5,32.0,3.0,2.0,48.31591173054587
120506.0,ICICI Pru Value Discovery Fund - Regular - Growth,100.16,26.03,14.89,-0.13,0.1628,0.0477,-19.83,1.41,19.0,20.5,20.0,19.0,27.0,44.599303135888505
102885.0,UTI Nifty 50 Index Fund - Regular - Growth,108.94,27.84,15.88,-0.13,0.1699,-0.0019,-10.86,1.57,18.0,20.5,19.0,34.0,7.0,43.43786295005806
