,amfi_code,sortino_ratio
0,100016.0,-0.56
1,100025.0,-1.47
2,100033.0,1.18
3,101206.0,1.11
4,101207.0,-0.07
5,101208.0,-8.37
6,102885.0,0.79
7,102886.0,-0.53
8,102887.0,0.54
9,118632.0,1.15
10,118633.0,0.57
11,118634.0,0.3
12,118635.0,0.56
13,118636.0,-1.24
14,119092.0,-0.26
15,119093.0,-0.14
16,119094.0,1.07
17,119095.0,-0.37
18,119120.0,-1.04
19,119551.0,1.37
20,119552.0,0.96
21,119598.0,1.05
22,119599.0,-0.34
23,120503.0,0.74
24,120504.0,1.11
25,120505.0,1.35
26,120506.0,0.55
27,120507.0,-6.72
28,120841.0,0.34
29,120842.0,-0.18
30,120843.0,1.58
31,120844.0,-7.34
32,125497.0,0.73
33,125498.0,0.11
34,148567.0,1.62
35,148568.0,0.97
36,148569.0,1.43
37,149322.0,0.29
38,149323.0,1.22
39,149324.0,1.01
