cohort_year,avg_sip_amount,total_invested,preferred_fund
2024,107422.54183205638,3491125187,148568
2024,107422.54183205638,3491125187,125498
2024,107422.54183205638,3491125187,120504
2024,107422.54183205638,3491125187,119095
2024,107422.54183205638,3491125187,118636
2024,107422.54183205638,3491125187,119551
2024,107422.54183205638,3491125187,101207
2024,107422.54183205638,3491125187,119094
2024,107422.54183205638,3491125187,125497
2024,107422.54183205638,3491125187,101208
2024,107422.54183205638,3491125187,100016
2024,107422.54183205638,3491125187,102885
2024,107422.54183205638,3491125187,119092
2024,107422.54183205638,3491125187,120843
2024,107422.54183205638,3491125187,120844
2024,107422.54183205638,3491125187,102887
2024,107422.54183205638,3491125187,120506
2024,107422.54183205638,3491125187,120842
2024,107422.54183205638,3491125187,149324
2024,107422.54183205638,3491125187,118633
2024,107422.54183205638,3491125187,149322
2024,107422.54183205638,3491125187,118635
2024,107422.54183205638,3491125187,120507
2024,107422.54183205638,3491125187,118632
2024,107422.54183205638,3491125187,102886
2024,107422.54183205638,3491125187,148567
2024,107422.54183205638,3491125187,101206
2024,107422.54183205638,3491125187,119552
2024,107422.54183205638,3491125187,149323
2024,107422.54183205638,3491125187,119599
2024,107422.54183205638,3491125187,100025
2024,107422.54183205638,3491125187,148569
2024,107422.54183205638,3491125187,119093
2024,107422.54183205638,3491125187,100033
2024,107422.54183205638,3491125187,120505
2024,107422.54183205638,3491125187,120503
2024,107422.54183205638,3491125187,118634
2024,107422.54183205638,3491125187,119120
2024,107422.54183205638,3491125187,120841
2024,107422.54183205638,3491125187,119598
2025,109158.5770609319,30455243,119599
2025,109158.5770609319,30455243,120507
2025,109158.5770609319,30455243,102886
2025,109158.5770609319,30455243,101207
2025,109158.5770609319,30455243,119120
2025,109158.5770609319,30455243,120503
2025,109158.5770609319,30455243,120506
2025,109158.5770609319,30455243,120844
2025,109158.5770609319,30455243,148568
2025,109158.5770609319,30455243,101206
2025,109158.5770609319,30455243,101208
2025,109158.5770609319,30455243,118632
2025,109158.5770609319,30455243,118635
2025,109158.5770609319,30455243,119093
2025,109158.5770609319,30455243,119551
2025,109158.5770609319,30455243,120843
2025,109158.5770609319,30455243,125498
2025,109158.5770609319,30455243,149323
2025,109158.5770609319,30455243,100033
2025,109158.5770609319,30455243,118634
2025,109158.5770609319,30455243,120841
2025,109158.5770609319,30455243,102885
2025,109158.5770609319,30455243,118633
2025,109158.5770609319,30455243,118636
2025,109158.5770609319,30455243,119092
2025,109158.5770609319,30455243,119094
2025,109158.5770609319,30455243,119095
2025,109158.5770609319,30455243,120504
2025,109158.5770609319,30455243,125497
2025,109158.5770609319,30455243,148567
2025,109158.5770609319,30455243,148569
2025,109158.5770609319,30455243,149324
2025,109158.5770609319,30455243,119552
2025,109158.5770609319,30455243,120842
2025,109158.5770609319,30455243,149322
2025,109158.5770609319,30455243,100016
2025,109158.5770609319,30455243,120505
2025,109158.5770609319,30455243,100025
2025,109158.5770609319,30455243,102887
2025,109158.5770609319,30455243,119598
