,amfi_code,VaR_95,CVaR_95
0,100016.0,-0.012884,-0.016768
1,100025.0,-0.003338,-0.004581
2,100033.0,-0.016902,-0.02185
3,101206.0,-0.012173,-0.016075
4,101207.0,-0.023915,-0.030289
5,101208.0,-0.000218,-0.000371
6,102885.0,-0.011047,-0.014381
7,102886.0,-0.016857,-0.021771
8,102887.0,-0.013743,-0.017964
9,118632.0,-0.012333,-0.016328
10,118633.0,-0.012066,-0.015542
11,118634.0,-0.02281,-0.02994
12,118635.0,-0.011033,-0.014938
13,118636.0,-0.003344,-0.004541
14,119092.0,-0.012693,-0.016166
15,119093.0,-0.012588,-0.016332
16,119094.0,-0.016997,-0.022375
17,119095.0,-0.023284,-0.02969
18,119120.0,-0.003429,-0.004618
19,119551.0,-0.011827,-0.01523
20,119552.0,-0.012129,-0.016078
21,119598.0,-0.021502,-0.028444
22,119599.0,-0.023155,-0.030163
23,120503.0,-0.012133,-0.0161
24,120504.0,-0.012531,-0.016226
25,120505.0,-0.016224,-0.022363
26,120506.0,-0.013005,-0.017792
27,120507.0,-0.000196,-0.000325
28,120841.0,-0.011725,-0.015249
29,120842.0,-0.01695,-0.021251
30,120843.0,-0.013327,-0.017114
31,120844.0,-0.000204,-0.000362
32,125497.0,-0.012502,-0.016964
33,125498.0,-0.016762,-0.021484
34,148567.0,-0.012607,-0.016343
35,148568.0,-0.013313,-0.017384
36,148569.0,-0.015259,-0.019852
37,149322.0,-0.012955,-0.016995
38,149323.0,-0.015866,-0.020903
39,149324.0,-0.02152,-0.028573
